epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,45,,,,,,,0.7330622673034668,0.9427149295806885,0.8895072340965271
0,45,,,,0.7441390156745911,0.9933770895004272,0.9961960911750793,,,
1,91,,,,,,,0.6574077606201172,0.8550992012023926,0.7315548658370972
1,91,,,,0.6662866473197937,0.8869404196739197,0.7921473979949951,,,
2,137,,,,,,,0.5793165564537048,0.7673923969268799,0.5894508957862854
2,137,,,,0.597812294960022,0.8010954856872559,0.647407591342926,,,
3,183,,,,,,,0.5160863399505615,0.6954498291015625,0.4852481484413147
3,183,,,,0.5310363173484802,0.7178606986999512,0.5194880366325378,,,
4,229,,,,,,,0.49370431900024414,0.6674386262893677,0.44803565740585327
4,229,,,,0.4960396885871887,0.6702778935432434,0.45356467366218567,,,
5,275,,,,,,,0.4808861315250397,0.6502902507781982,0.42564794421195984
5,275,,,,0.4804370701313019,0.6486461162567139,0.4250427484512329,,,
6,321,,,,,,,0.4704412817955017,0.6361139416694641,0.40774011611938477
6,321,,,,0.4679236114025116,0.6303113698959351,0.401170551776886,,,
7,367,,,,,,,0.46213415265083313,0.6246338486671448,0.3934263586997986
7,367,,,,0.4548111855983734,0.6133813261985779,0.38037624955177307,,,
8,413,,,,,,,0.4516450762748718,0.6125426292419434,0.3788522183895111
8,413,,,,0.4444202482700348,0.5987529158592224,0.36280959844589233,,,
9,459,,,,,,,0.44994881749153137,0.6074996590614319,0.37288448214530945
9,459,,,,0.43385350704193115,0.58661949634552,0.3475092351436615,,,
10,505,,,,,,,0.44471314549446106,0.6002721786499023,0.36425983905792236
10,505,,,,0.42499247193336487,0.5737994909286499,0.33333107829093933,,,
11,551,,,,,,,0.4363904595375061,0.5895774364471436,0.35172662138938904
11,551,,,,0.4165307581424713,0.5621933341026306,0.3201298415660858,,,
12,597,,,,,,,0.43176963925361633,0.5843060612678528,0.3455541133880615
12,597,,,,0.40881240367889404,0.551694393157959,0.30846986174583435,,,
13,643,,,,,,,0.42856574058532715,0.5795726776123047,0.3401471972465515
13,643,,,,0.4008103907108307,0.5421539545059204,0.2963518500328064,,,
14,689,,,,,,,0.4221310019493103,0.5729557871818542,0.33255454897880554
14,689,,,,0.39353835582733154,0.5306850075721741,0.284950315952301,,,
15,735,,,,,,,0.41820254921913147,0.5685679316520691,0.3279711604118347
15,735,,,,0.3868350088596344,0.5217351913452148,0.2751166820526123,,,
16,781,,,,,,,0.4156239330768585,0.5653274059295654,0.3242218494415283
16,781,,,,0.37963712215423584,0.5120041370391846,0.26518386602401733,,,
17,827,,,,,,,0.4116128385066986,0.5601123571395874,0.318241149187088
17,827,,,,0.3734857141971588,0.5026734471321106,0.25612393021583557,,,
18,873,,,,,,,0.4058780074119568,0.5570327043533325,0.31513360142707825
18,873,,,,0.36818379163742065,0.495967835187912,0.24822494387626648,,,
19,919,,,,,,,0.41000235080718994,0.5587625503540039,0.3171044588088989
19,919,,,,0.3624114990234375,0.4867415726184845,0.239998921751976,,,
20,965,,,,,,,0.4024384915828705,0.5532020330429077,0.311143696308136
20,965,,,,0.35738059878349304,0.48058223724365234,0.2328823357820511,,,
21,1011,,,,,,,0.40298640727996826,0.5522444248199463,0.30976036190986633
21,1011,,,,0.35216090083122253,0.47299858927726746,0.22640684247016907,,,
22,1057,,,,,,,0.4001687467098236,0.5499672293663025,0.3071199059486389
22,1057,,,,0.3476888835430145,0.4663425385951996,0.21892297267913818,,,
23,1103,,,,,,,0.3985247313976288,0.5476431250572205,0.30445072054862976
23,1103,,,,0.3413738012313843,0.456551730632782,0.21020886301994324,,,
24,1149,,,,,,,0.39479413628578186,0.5448296666145325,0.30145522952079773
24,1149,,,,0.3372705280780792,0.4500274360179901,0.20458246767520905,,,
25,1195,,,,,,,0.3900187015533447,0.5411967039108276,0.29733479022979736
25,1195,,,,0.3328595459461212,0.44439321756362915,0.19906385242938995,,,
26,1241,,,,,,,0.39130905270576477,0.5423667430877686,0.29814237356185913
26,1241,,,,0.3288145661354065,0.4378359317779541,0.19484594464302063,,,
27,1287,,,,,,,0.38569703698158264,0.5379899144172668,0.29386961460113525
27,1287,,,,0.32481008768081665,0.43339109420776367,0.18955692648887634,,,
28,1333,,,,,,,0.38318735361099243,0.5341027975082397,0.28920960426330566
28,1333,,,,0.3202044367790222,0.4274176359176636,0.1842954456806183,,,
29,1379,,,,,,,0.38292351365089417,0.5340391993522644,0.28913968801498413
29,1379,,,,0.31639087200164795,0.42204874753952026,0.17982396483421326,,,
30,1425,,,,,,,0.3811178505420685,0.5331714153289795,0.288049578666687
