uid,formula,n_atoms,gap_pbe,gap_hse_true,gap_hse_pred,uwbg
4BeF2-1,BeF2,12,8.565901281618878,,10.53572940826416,True
2BeF2-1,BeF2,6,8.25356772067039,,10.521464347839355,True
1MgB2F8-1,MgB2F8,11,8.241044851795206,10.617772574966029,10.463626861572266,True
2AlF3-1,AlF3,8,7.772043739208705,,10.408928871154785,True
2AlF3-2,AlF3,8,8.408902504942903,10.791584270238179,10.378604888916016,True
2YF3-2,YF3,8,6.821395567485379,,9.972097396850586,True
2YF3-1,YF3,8,7.72766527046932,9.894449577438952,9.941141128540039,True
1MgF2-1,MgF2,3,7.534444494178011,9.796043658608728,9.722163200378418,True
1BaP2F12-1,BaP2F12,15,7.040993921354211,9.582344405541459,9.63367748260498,True
2ScF3-1,ScF3,8,6.883936707053714,10.024799859577415,9.617742538452148,True
1CaF2-1,CaF2,3,7.157281169654316,,9.343953132629395,True
1SrP2F12-1,SrP2F12,15,6.876035946302497,9.426418483475762,9.210197448730469,True
4FLi-1,LiF,8,6.795881199347166,8.826324065442112,8.785544395446777,True
6FLi-1,LiF,12,6.8039105429025835,8.825406810873499,8.775956153869629,True
2NaTaF6-1,NaTaF6,16,6.240968409735775,8.849863106960006,8.740782737731934,True
6FLi-2,LiF,12,6.642434306250129,,8.739357948303223,True
1HfZnF6-1,HfZnF6,8,5.932064529314974,8.572742466226543,8.519134521484375,True
2LiTaF6-1,LiTaF6,16,6.135708866467615,8.725162908062773,8.465278625488281,True
2NaNbF6-1,NaNbF6,16,5.538701434870497,8.250125633271292,8.318853378295898,True
2LiNbF6-1,LiNbF6,16,5.440584048913905,8.141265897281308,8.259432792663574,True
2KTaF6-1,KTaF6,16,6.0798439543383545,8.68143673805662,8.183592796325684,True
1BeP2F4O4-1,BeP2(OF)4,11,6.280248276334114,,8.143732070922852,True
2GaF3-1,GaF3,8,5.826649820209332,8.149127636641484,8.029195785522461,True
2KNbF6-1,KNbF6,16,5.487954393138606,8.17697667577005,8.019767761230469,True
2GaF3-3,GaF3,8,5.071004514759804,,7.997773170471191,True
1MgB2H8-1,Mg(BH4)2,11,6.082173090564821,7.486423969633201,7.827822208404541,True
2B2O3-1,B2O3,10,6.188211355425892,8.004683736174364,7.775139331817627,True
1B2O3-1,B2O3,5,5.3170407908038655,,7.761010646820068,True
2SrF2O2H4-1,SrH4(OF)2,18,5.778940693889577,7.694953668993825,7.71587610244751,True
2CaF2O2H4-1,CaH4(OF)2,18,6.025253430227339,7.9662019138200115,7.683529376983643,True
3FNa-1,NaF,6,5.67699618276303,7.781608612287117,7.64560604095459,True
2FNa-1,NaF,4,5.589937102425832,7.694500527868119,7.615417003631592,True
1SnZnF6-1,ZnSnF6,8,4.390256555182875,,7.515085697174072,True
2B2O3-2,B2O3,10,5.06054785078204,,7.501482963562012,True
2CKSF3O3-1,KCS(OF)3,18,5.904051683439757,7.673819026588019,7.425471305847168,True
2AlFO-1,AlOF,6,5.6726503874705285,7.451110094646179,7.408236980438232,True
2KC2F3O3-1,KC2(OF)3,18,5.66111635026357,,7.399101257324219,True
2CaClF-1,CaClF,6,6.020166734741515,7.586685082888464,7.350358963012695,True
6ClLi-2,LiCl,12,5.924021071022679,7.168019766904036,7.341660499572754,True
2ClLi-1,LiCl,4,5.895897731826821,7.096645021814382,7.321347236633301,True
4ClLi-2,LiCl,8,6.191885746579198,7.446287004387182,7.316340923309326,True
1SrAs2F12-1,SrAs2F12,15,4.689493020935764,7.119181141262384,7.2970476150512695,True
2NaC2F3O3-1,NaC2(OF)3,18,5.86519509572954,,7.2915143966674805,True
4ClLi-1,LiCl,8,6.09656063132438,7.344284115112513,7.278384685516357,True
2GaF3-2,GaF3,8,5.007989275229093,,7.239091873168945,True
3ClLi-1,LiCl,6,5.818553638093951,7.0242813841222755,7.190998554229736,True
2CaCl2O2H4-1,CaH4(ClO)2,18,5.713895107177429,7.085091451707623,7.186734199523926,True
6ClLi-1,LiCl,12,5.662381514117593,6.908114182200017,7.182667255401611,True
2CRbSF3O3-1,RbCS(OF)3,18,5.749059505587901,,7.176067352294922,True
2AlClO-1,AlClO,6,5.728716402441362,7.217401276258211,7.165730953216553,True
2RbC2F3O3-1,RbC2(OF)3,18,5.557582670758202,7.402504055455668,7.1396331787109375,True
6FK-1,KF,12,5.179073062643626,7.205368494023155,7.1365814208984375,True
1CaCl2-3,CaCl2,3,5.53009095512323,6.8914666338812784,7.11887788772583,True
2BaClF-1,BaClF,6,5.532777195404654,6.968702552735938,7.0665364265441895,True
2BaP2O6-1,Ba(PO3)2,18,5.119854351861456,6.8789754109267,7.031367301940918,True
1ZnF2-1,ZnF2,3,4.505831697772569,7.04070118337718,7.028561115264893,True
1SrSb2F12-1,SrSb2F12,15,4.845851862055425,7.2202620542179705,7.0125250816345215,True
1BaAs2F12-1,BaAs2F12,15,4.8516746473395145,7.2857903526061225,7.012138366699219,True
2ClFSr-1,SrClF,6,6.009449023016467,7.351129491723217,7.004875659942627,True
2BeCl2-1,BeCl2,6,5.36998478240022,6.861948270957772,6.968906402587891,True
2CCsSF3O3-1,CsCS(OF)3,18,5.632514579519086,,6.955364227294922,True
2FK-1,KF,4,4.964089527280328,7.021843569419415,6.938880920410156,True
1HfF2P2O6-1,HfP2(O3F)2,11,4.7117427195510775,,6.921542167663574,True
1GeZrF6-1,ZrGeF6,8,4.944353218112315,,6.919751167297363,True
1MgCl2-1,MgCl2,3,5.94118234136039,7.294068617459455,6.918013095855713,True
1BeP2H4O4-1,BeP2(HO)4,11,5.993574927143381,,6.916694641113281,True
2SrCl2O2H4-1,SrH4(ClO)2,18,5.5700525165625265,6.943333130338282,6.91287899017334,True
2SrP2O6-1,Sr(PO3)2,18,5.086927687999312,6.873763907240447,6.911624908447266,True
2CaP2O6-1,Ca(PO3)2,18,5.201063184178735,7.038376448379054,6.867832660675049,True
1ZnF2-2,ZnF2,3,4.424517187411544,6.911133958319651,6.83501672744751,True
2ClKO3-1,KClO3,10,5.441482161252496,7.00366850108305,6.830521106719971,True
2Al2O3-1,Al2O3,10,5.087209258873355,,6.8253583908081055,True
2CsFPH3O3-1,CsPH3O3F,18,5.590121105150358,,6.822841644287109,True
1BaCl2-1,BaCl2,3,5.618229366763851,6.916304949670295,6.808320045471191,True
1MgCl2-2,MgCl2,3,5.292984488993644,6.65335431032235,6.796227931976318,True
2LiMgCl3-1,LiMgCl3,10,5.718777206838155,7.012333418928682,6.794306755065918,True
1GeF4-1,GeF4,5,4.2074122873057505,,6.786840438842773,True
2ClRbO3-1,RbClO3,10,5.431976963473879,6.795183220703832,6.736315727233887,True
2P2O5-1,P2O5,14,4.995004406041707,,6.723667621612549,True
2GeSO4-1,GeSO4,12,4.795330409419562,,6.713302135467529,True
2InF3-2,InF3,8,4.962830177173105,7.139247014902809,6.676147937774658,True
2FOSc-1,ScOF,6,4.619597570808152,6.9857666520924075,6.673821449279785,True
2ClKO2H4-1,KH4ClO2,16,5.089689924113538,6.470916738803768,6.661131858825684,True
2BeBrCl-1,BeBrCl,6,5.654664660540468,6.921405956404241,6.655532360076904,True
1SrCl2-1,SrCl2,3,5.738033298715962,7.047010997614251,6.654155254364014,True
2SrCl2-1,SrCl2,6,5.478305609809846,6.767393295127839,6.649515151977539,True
2AlHSO4-1,AlHSO4,14,5.128624687904397,6.800169884150914,6.635939598083496,True
2InF3-1,InF3,8,4.64901186477659,,6.621748924255371,True
2InF3-3,InF3,8,4.548954717530801,,6.6171345710754395,True
2AsPO4-2,AsPO4,12,4.36651165278805,,6.612944602966309,True
2FOY-1,YOF,6,5.17330748846039,6.726879214939499,6.607353210449219,True
4MgCl2-1,MgCl2,12,5.338600262936167,6.7530308678349,6.589406490325928,True
2ClCsO3-1,CsClO3,10,5.291242555061615,6.615898979552831,6.588308811187744,True
2FNSi-1,SiNF,6,5.090992088198503,6.701052744047075,6.570899486541748,True
1ZrF2P2O6-1,ZrP2(O3F)2,11,4.231905233851844,,6.566556930541992,True
1HfH2P2O6-1,HfP2(HO3)2,11,4.72428235232288,,6.529079437255859,True
1MgCl2-3,MgCl2,3,4.761514145990555,6.062543426890128,6.515612602233887,True
2YCl3-1,YCl3,8,5.1126171768740125,6.725866120971198,6.513328552246094,True
2CaCl2-1,CaCl2,6,5.406327483393074,,6.490979194641113,True
1CaCl2-1,CaCl2,3,5.783509188690621,7.440699079502503,6.488345146179199,True
2FRb-1,RbF,4,4.556590937560668,6.552578158599866,6.484385967254639,True
2SrF2S2H4-1,SrH4(SF)2,18,4.891420946757469,,6.4748687744140625,True
2AlCl3-1,AlCl3,8,5.487420265279271,6.980368311072746,6.473807334899902,True
2BrCaF-1,CaBrF,6,5.169901371724956,6.384806224215836,6.470925807952881,True
1BaSb2F12-1,BaSb2F12,15,4.965795654255119,7.344033209756923,6.469765663146973,True
1P2Si3O9-1,Si3P2O9,14,5.101760049574473,6.548134838443721,6.458154201507568,True
1SrCl2-2,SrCl2,3,4.9444653101938325,6.202427264782143,6.449166774749756,True
2ClNaO3-1,NaClO3,10,5.17609420431444,,6.443687438964844,True
2SbF3-1,SbF3,8,5.087285720196227,6.459002884347144,6.416390895843506,True
2BLiH4O4-1,LiB(HO)4,20,4.879850630113147,6.616432628917067,6.413143157958984,True
2BNaH4O4-1,NaB(HO)4,20,4.681447711520445,6.454110000858065,6.408454895019531,True
3ClNa-1,NaCl,6,5.021463065348007,6.282805575094341,6.384642124176025,True
1As2Si3O9-1,Si3As2O9,14,5.219711298714298,,6.381506443023682,True
1CdIn2F8-1,CdIn2F8,11,3.9771953418927253,6.03510030018629,6.378693103790283,True
2BrFSr-1,SrBrF,6,5.114279763875212,6.269510738711807,6.356332778930664,True
2KC2H3O3-1,KH3C2O3,18,4.672078406045388,6.357534075722851,6.353666305541992,True
2SrCl2S2H4-1,SrH4(SCl)2,18,5.053301941613162,,6.35015344619751,True
4ClNa-1,NaCl,8,5.098145670757296,6.359629998494182,6.349444389343262,True
1NiZrF6-1,ZrNiF6,8,1.9003199957275085,6.163583641822975,6.322811603546143,True
2BKH4O4-1,KB(HO)4,20,4.386654712862368,6.126452412229799,6.321631908416748,True
2AlHSeO4-1,AlHSeO4,14,4.475845727404332,6.063001669658007,6.316744327545166,True
1CaCl2-2,CaCl2,3,4.77056491579884,6.384168509690626,6.303867340087891,True
2BrLi-1,LiBr,4,5.3391084928079,6.43932508248939,6.291698932647705,True
1MnP2F12-1,MnP2F12,15,3.1619328230206283,6.441105521864005,6.276398181915283,True
2ClGePO3-1,GePClO3,12,4.598825756325285,5.831420452682101,6.2742133140563965,True
2CaCl2S2H4-1,CaH4(SCl)2,18,5.21930234443192,6.475373145626888,6.269221305847168,True
2CaF2S2H4-1,CaH4(SF)2,18,5.072243810787685,6.255315224700974,6.267487525939941,True
4PO2-1,PO2,12,5.123943542722234,,6.26241397857666,True
2CHNaO3-1,NaHCO3,12,4.538559668425632,6.301388084470219,6.2579731941223145,True
6FRb-1,RbF,12,4.8326126125346835,6.8074719963798564,6.257659435272217,True
4ZnF2-1,ZnF2,12,4.133611706938529,,6.253700256347656,True
2MgCl2-1,MgCl2,6,4.50389946664683,5.908026099104898,6.252917766571045,True
1MgLi2S2H4O8-1,Li2MgH4(SO4)2,17,4.729470308238289,6.020060696821162,6.250270843505859,True
2SrGe2F6-1,SrGe2F6,18,4.877820471941242,,6.242974758148193,True
2YCl3-3,YCl3,8,4.419928920572193,6.01392646570449,6.219173431396484,True
2ClOSc-1,ScClO,6,4.24337483139518,6.461398367364946,6.215076446533203,True
2GeHPO3-1,GePHO3,12,4.88281737807408,6.084393950689768,6.214362621307373,True
3BrLi-2,LiBr,6,4.8999121537585015,,6.212615489959717,True
1YCl3-1,YCl3,4,4.226560095431935,,6.205842018127441,True
2CHKO3-1,KHCO3,12,4.463159928806036,6.2155469319672925,6.197841644287109,True
2CaGe2F6-1,CaGe2F6,18,4.773241093701042,5.992006948733845,6.194301605224609,True
2ClK-1,KCl,4,4.910162652417998,6.14920121255569,6.170554161071777,True
2CKNO-1,KCNO,8,4.609571421053561,5.9297110295034114,6.169933795928955,True
2AlAsO3-1,AlAsO3,10,4.596195714384544,5.969293617398447,6.156661033630371,True
2ClK-2,KCl,4,4.881867863410565,6.135935277588135,6.150988578796387,True
4BrLi-1,LiBr,8,4.929041787094119,6.001197870294543,6.147062301635742,True
3ClK-1,KCl,6,4.908256118038552,6.155000073899176,6.142592906951904,True
1SnF4-1,SnF4,5,4.081617937381384,6.351150444196858,6.139749526977539,True
2CaO3H4-1,CaH4O3,16,4.509741830439003,6.175914485021403,6.138249397277832,True
2ClLiO2H4-1,LiH4ClO2,16,4.762992577738964,6.111150256482566,6.13265323638916,True
1ZrH2P2O6-1,ZrP2(HO3)2,11,4.2804850310600795,6.395484663595209,6.125458240509033,True
2HP3O6-1,P3HO6,20,4.414783000473404,5.828959430655282,6.1241326332092285,True
2YCl3-4,YCl3,8,4.339259914206907,,6.119702339172363,True
1BaBrCl-1,BaBrCl,3,5.090557575736565,6.257067660276618,6.117354393005371,True
1Sb2Si3O9-1,Si3Sb2O9,14,4.725244868504696,,6.114748477935791,True
2SZnH2O4-1,ZnH2SO4,16,4.521038283796077,6.106114847461798,6.112778186798096,True
2BrCaCl-1,CaBrCl,6,5.0479232813461685,6.503436073794257,6.111852645874023,True
1HfNiF6-1,HfNiF6,8,1.9097975249032775,6.181179018284299,6.105677604675293,True
2BrKO2H4-1,KH4BrO2,16,4.454311774413791,,6.104931831359863,True
2CNNaO-1,NaCNO,8,4.78808093508038,6.126999170941806,6.103221416473389,True
2FGePO3-1,GePO3F,12,4.633526701915798,5.82680167459753,6.095639228820801,True
2CCsHO3-1,CsHCO3,12,4.32366867431272,6.0467067805000605,6.086070537567139,True
2BaBrF-1,BaBrF,6,4.895385643690123,6.127944538887858,6.084517955780029,True
2NiF3-1,NiF3,8,0.005493648138994445,,6.07178258895874,True
4CaSeO3-1,CaSeO3,20,4.533149751124865,6.044605616137622,6.060661792755127,True
3BrLi-1,LiBr,6,4.8187013934676965,5.8982357701355514,6.0547566413879395,True
4PO2-2,PO2,12,4.7113410928687225,,6.053016662597656,True
4ClOSc-1,ScClO,12,4.1624778700225935,,6.047534942626953,True
1MgNa2Se2H4O8-1,Na2MgH4(SeO4)2,17,4.574471869620435,5.982876970165398,6.046602249145508,True
2BrCaCl-2,CaBrCl,6,4.850008992497857,6.265795452064115,6.0414042472839355,True
2CaBr2O2H4-1,CaH4(BrO)2,18,4.905858156695395,6.093318049576215,6.023707389831543,True
2CsC2H3O3-1,CsH3C2O3,18,4.473303256161649,6.165504517407454,6.023655891418457,True
1BrClMg-1,MgBrCl,3,4.641316327290926,5.813815942663741,6.022690296173096,True
2SrBr2O2H4-1,SrH4(BrO)2,18,4.80933134760167,5.988698790178095,6.008225440979004,True
2PbF2-1,PbF2,6,4.397013724173844,5.805723742553335,6.006662368774414,True
2HSeLi3O4-1,Li3HSeO4,18,4.572113134494854,5.85623893684774,5.998537063598633,True
1GeK2H6O6-1,K2Ge(HO)6,15,4.23741760079378,5.958661668382421,5.99564266204834,True
1MgLi2Se2H4O8-1,Li2MgH4(SeO4)2,17,4.649365588323176,6.069699781154093,5.9901604652404785,True
2ClNa-1,NaCl,4,4.966135273351533,,5.989214897155762,True
6BrLi-1,LiBr,12,4.720568450929546,5.803499154251513,5.984790325164795,True
1HfLi2H6O6-1,Li2Hf(HO)6,15,4.2052115915803245,,5.983766078948975,True
2GaHSO4-1,GaHSO4,14,4.421056980195846,5.938315299581159,5.954323768615723,True
1CaBr2-3,CaBr2,3,4.741576167858905,5.9270726638130995,5.948782920837402,True
2CHRbO3-1,RbHCO3,12,4.385342699681946,6.135748248100355,5.93926477432251,True
2CsF-1,CsF,4,4.151116844666914,6.0586074735185305,5.924514293670654,True
4SeSrO3-1,SrSeO3,20,4.547200683982531,6.000825201016186,5.917421340942383,True
1MgNa2S2H4O8-1,Na2MgH4(SO4)2,17,4.454158090133488,5.737877923226915,5.914144992828369,True
2CaClH-1,CaHCl,6,3.9244524368202764,5.233449755490089,5.900806903839111,True
2CaBr2S2H4-1,CaH4(SBr)2,18,4.708433539307828,5.883500821419386,5.896849155426025,True
6BrLi-2,LiBr,12,4.842165259646521,5.928555004782295,5.892883777618408,True
2HSLi3O4-1,Li3HSO4,18,4.475084748779595,5.693607965069441,5.887035846710205,True
2SAs2O6-1,As2SO6,18,4.45635411679549,5.873611763128167,5.88598108291626,True
