uid_x,fidelity,real,pred,abs_error,bias,uid_base,uid_y,reduced_formula,gap_pbe_2d,gap_pbe_bulk_mean,delta_gap_pbe,gap_hse_2d,gap_hse_bulk_mean,delta_gap_hse
2AuCl-2_hse,1,1.4768449068069458,2.829639196395874,1.3527942895889282,1.3527942895889282,2AuCl-2,2AuCl-2,AuCl,1.1176194043882357,1.8679,-0.7502805956117644,1.4768448617655885,,
2TiZrTe4-1_hse,1,0.7439839243888855,0.790707528591156,0.04672360420227051,0.04672360420227051,2TiZrTe4-1,2TiZrTe4-1,ZrTiTe4,0.1172176416971779,0.0,0.1172176416971779,0.7439839246275826,0.0,0.7439839246275826
2OsSe2-1_hse,1,1.3893073797225952,1.7639175653457642,0.37461018562316895,0.37461018562316895,2OsSe2-1,2OsSe2-1,OsSe2,0.5672753644166775,0.0,0.5672753644166775,1.389307349052195,0.4078009999999999,0.981506349052195
1BiBrTe-1_hse,1,1.159358263015747,1.095100998878479,0.06425726413726807,-0.06425726413726807,1BiBrTe-1,1BiBrTe-1,BiTeBr,0.5910806856682358,1.2233,-0.6322193143317643,1.1593582897846306,2.31804992,-1.1586916302153694
2BaP2O6-1_hse,1,6.8789753913879395,7.032920837402344,0.1539454460144043,0.1539454460144043,2BaP2O6-1,2BaP2O6-1,Ba(PO3)2,5.119854351861456,5.35195,-0.2320956481385447,6.8789754109267,,
2BiCl3-4_hse,1,3.106431722640991,2.7297921180725098,0.37663960456848145,-0.37663960456848145,2BiCl3-4,2BiCl3-4,BiCl3,2.184236733968496,3.3547,-1.1704632660315042,3.106431663841922,,
2ZrTe5-1_hse,1,0.14231474697589874,0.962110698223114,0.8197959512472153,0.8197959512472153,2ZrTe5-1,2ZrTe5-1,ZrTe5,0.1906391449159064,0.0442999999999997,0.1463391449159066,0.1423147415427084,,
1CrSe2-1_hse,1,1.128434419631958,0.9741794466972351,0.1542549729347229,-0.1542549729347229,1CrSe2-1,1CrSe2-1,CrSe2,0.6852428509563413,0.0,0.6852428509563413,1.1284344191608056,0.0,1.1284344191608056
1AgInP2S6-1_hse,1,2.3653078079223633,2.0921294689178467,0.2731783390045166,-0.2731783390045166,1AgInP2S6-1,1AgInP2S6-1,InAg(PS3)2,1.317293751322512,1.1379,0.1793937513225119,2.3653077633070336,,
1CuInP2Se6-1_hse,1,2.050906181335449,1.7741211652755737,0.2767850160598755,-0.2767850160598755,1CuInP2Se6-1,1CuInP2Se6-1,InCu(PSe3)2,0.9080369106453624,0.3111000000000001,0.5969369106453621,2.0509062009064927,,
4NaSbS2-1_hse,1,2.101515054702759,2.509039878845215,0.40752482414245605,0.40752482414245605,4NaSbS2-1,4NaSbS2-1,NaSbS2,1.529375255498007,0.8815999999999997,0.6477752554980072,2.1015151381476183,,
2PbTe-2_hse,1,0.8645070195198059,0.9615879654884338,0.09708094596862793,0.09708094596862793,2PbTe-2,2PbTe-2,TePb,0.4340715794741978,0.5092666666666666,-0.0751950871924688,0.8645070315508245,1.1264639900000002,-0.2619569584491756
2Al2Se3-3_hse,1,2.033627986907959,1.8898297548294067,0.14379823207855225,-0.14379823207855225,2Al2Se3-3,2Al2Se3-3,Al2Se3,1.3194839700811385,1.4622000000000002,-0.1427160299188619,2.033628082155115,2.686393,-0.6527649178448849
2As2S3-4_hse,1,3.246669292449951,3.169963836669922,0.0767054557800293,-0.0767054557800293,2As2S3-4,2As2S3-4,As2S3,2.2527051583121187,2.0878,0.164905158312119,3.246669201686613,,
1HIOSr-1_hse,1,2.016108274459839,5.352798938751221,3.336690664291382,3.336690664291382,1HIOSr-1,1HIOSr-1,SrHIO,1.20348535877886,3.7424,-2.53891464122114,2.0161081614721024,,
6ClCu-1_hse,1,2.321772813796997,3.3724918365478516,1.0507190227508545,1.0507190227508545,6ClCu-1,6ClCu-1,CuCl,0.738536006582522,0.4442000000000002,0.2943360065825218,2.321772889876782,,
2HfS3-1_hse,1,2.1090176105499268,2.5578343868255615,0.44881677627563477,0.44881677627563477,2HfS3-1,2HfS3-1,HfS3,1.1567800561995498,1.1326,0.0241800561995497,2.1090175891177743,,
1SnCl2-2_hse,1,3.5372068881988525,3.4568252563476562,0.08038163185119629,-0.08038163185119629,1SnCl2-2,1SnCl2-2,SnCl2,2.745101403268332,3.1011,-0.3559985967316685,3.537207003340947,,
2ClFSr-1_hse,1,7.351129531860352,7.143439769744873,0.20768976211547852,-0.20768976211547852,2ClFSr-1,2ClFSr-1,SrClF,6.009449023016467,5.9367,0.0727490230164669,7.351129491723217,,
2ClK-2_hse,1,6.135935306549072,6.165411472320557,0.029476165771484375,0.029476165771484375,2ClK-2,2ClK-2,KCl,4.881867863410565,4.91375,-0.0318821365894352,6.135935277588135,6.20538051,-0.0694452324118648
1PbI2-1_hse,1,2.2996718883514404,1.9364672899246216,0.36320459842681885,-0.36320459842681885,1PbI2-1,1PbI2-1,PbI2,1.4994499199913929,2.390927272727273,-0.8914773527358799,2.299671903419279,,
2AlCl3-1_hse,1,6.980368137359619,6.271897792816162,0.708470344543457,-0.708470344543457,2AlCl3-1,2AlCl3-1,AlCl3,5.487420265279271,2.6315,2.855920265279271,6.980368311072746,,
3ClNa-1_hse,1,6.282805442810059,6.418672561645508,0.13586711883544922,0.13586711883544922,3ClNa-1,3ClNa-1,NaCl,5.021463065348007,4.48845,0.5330130653480065,6.282805575094341,,
2PdSeO3-2_hse,1,2.182095766067505,1.4866174459457397,0.6954783201217651,-0.6954783201217651,2PdSeO3-2,2PdSeO3-2,PdSeO3,0.6359898614904327,0.871,-0.2350101385095673,2.1820958258317917,,
2PdSeO3-1_hse,1,2.6630473136901855,2.0228664875030518,0.6401808261871338,-0.6401808261871338,2PdSeO3-1,2PdSeO3-1,PdSeO3,1.120449120532261,0.871,0.2494491205322613,2.663047281887001,,
2RhSe-3_hse,1,0.3374408185482025,0.18792879581451416,0.14951202273368835,-0.14951202273368835,2RhSe-3,2RhSe-3,RhSe,0.1011477027637412,0.0,0.1011477027637412,0.3374408042430755,0.0,0.3374408042430755
2MgPSe3-1_hse,1,2.964062213897705,2.618713617324829,0.345348596572876,-0.345348596572876,2MgPSe3-1,2MgPSe3-1,MgPSe3,2.048689255752951,2.0382,0.010489255752951,2.9640621401433123,2.963191,0.0008711401433121
2AsBr3-1_hse,1,3.2996020317077637,3.565749168395996,0.2661471366882324,0.2661471366882324,2AsBr3-1,2AsBr3-1,AsBr3,2.4767749625963944,3.1271000000000004,-0.650325037403606,3.2996020535129054,4.151391,-0.8517889464870949
2InTe-1_hse,1,1.811660885810852,1.3784493207931519,0.4332115650177002,-0.4332115650177002,2InTe-1,2InTe-1,InTe,1.2326469781332072,0.0,1.2326469781332072,1.8116609058408255,0.0,1.8116609058408255
1P2Pd3S8-1_hse,1,2.8755855560302734,2.442336082458496,0.43324947357177734,-0.43324947357177734,1P2Pd3S8-1,1P2Pd3S8-1,P2Pd3S8,1.7502109295603692,1.5779,0.172310929560369,2.8755854989989182,,
2CuI-1_hse,1,3.3590495586395264,3.2029106616973877,0.15613889694213867,-0.15613889694213867,2CuI-1,2CuI-1,CuI,1.786890780618711,1.1621375,0.624753280618711,3.359049485087538,1.5789305,1.780118985087538
1BaSb2F12-1_hse,1,7.344033241271973,6.600363254547119,0.7436699867248535,-0.7436699867248535,1BaSb2F12-1,1BaSb2F12-1,BaSb2F12,4.965795654255119,4.0459,0.9198956542551198,7.344033209756923,5.883263,1.460770209756923
6AgCl-4_hse,1,3.7051005363464355,3.775667190551758,0.07056665420532227,0.07056665420532227,6AgCl-4,6AgCl-4,AgCl,2.3976363187139875,0.7568,1.6408363187139874,3.705100531907533,,
1WCu2S4-1_hse,1,2.9941112995147705,2.5158743858337402,0.4782369136810303,-0.4782369136810303,1WCu2S4-1,1WCu2S4-1,Cu2WS4,1.5342814677474648,1.49985,0.0344314677474648,2.994111191347562,,
1PtNa2H6O6-1_hse,1,4.67382287979126,4.709808826446533,0.03598594665527344,0.03598594665527344,1PtNa2H6O6-1,1PtNa2H6O6-1,Na2H6PtO6,2.835002527197509,2.6037,0.2313025271975091,4.67382281949948,,
2AuKSe-1_hse,1,2.5411365032196045,2.51015567779541,0.030980825424194336,-0.030980825424194336,2AuKSe-1,2AuKSe-1,KAuSe,1.867043986248969,1.816,0.0510439862489691,2.541136533134046,,
1GeS2-1_hse,1,2.433992385864258,1.4331167936325073,1.0008755922317505,-1.0008755922317505,1GeS2-1,1GeS2-1,GeS2,1.3444942134779445,2.305425,-0.9609307865220555,2.4339923336279483,3.1536860000000004,-0.7196936663720521
2AuCl-1_hse,1,3.1612303256988525,3.7443437576293945,0.583113431930542,0.583113431930542,2AuCl-1,2AuCl-1,AuCl,2.1183000783422936,1.8679,0.2504000783422935,3.1612302627032687,,
