uid,formula,gap_hse,gap_pbe,is_uwbg,ehull,hform,thickness,natoms,is_magnetic,dyn_stab,a_lat,b_lat,lgnum,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,ab_ratio
1InNaAs2S6-1,InNaAs2S6,2.836027869118116,1.9142750154789567,0,0.08399720199386138,-0.3464274174594699,3.3134098840227946,10,0,Yes,6.815892091638722,6.815892091638798,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8675000000000002,2.58,0.93,1.65,3.75,5.0,11.25,1.3699999999999999,61.19859232,1,0.9999999999999889
1AgScP2S6-1,AgScP2S6,3.453451687883375,2.0167417085026202,1,0.0,-0.6690426197987627,3.3646380024442184,10,0,Yes,6.219569413439784,6.2195741371085385,67,4,0,0,0,0,0,0,1,0,0,0,1,2.015,2.58,1.36,1.22,3.75,5.0,11.25,1.3375000000000001,53.9657185,1,0.999999240515725
1AuBiP2Se6-1,AuBiP2Se6,1.6037739096031203,0.8887192773504982,0,0.0,-0.15840833825790313,3.6469385009291333,10,0,Yes,6.730213216882921,6.730434897426036,65,4,0,0,0,0,0,0,0,0,0,0,1,2.325,2.55,2.02,0.5299999999999998,4.75,6.0,14.25,1.2950000000000002,128.97018275,1,0.9999670629689621
1AgCrP2Se6-1,AgCrP2Se6,1.788781534497054,0.8947669742058038,0,0.0,-0.25649274085738727,3.406030143021079,10,1,Yes,6.383340578560117,6.383429302278356,67,4,0,0,0,0,0,0,0,0,0,0,1,2.0824999999999996,2.55,1.66,0.8899999999999999,4.0,5.0,12.0,1.3299999999999998,67.4495155,1,0.9999861009319541
1AgSbAs2Se6-1,AgAs2SbSe6,1.1803003251095965,0.596745000387668,0,0.07666587840879435,-0.06103882927810247,3.6078965255861757,10,0,Yes,6.739581156603982,6.737718705152174,65,4,0,0,0,0,0,0,0,0,0,0,1,2.1775,2.55,1.93,0.6199999999999999,4.5,5.0,14.25,1.2875,95.87745,1,1.0002764216693083
1AgTlP2S6-1,AgTlP2S6,1.421081462725113,0.586614668267694,0,0.05236899782781088,-0.20028846474140352,3.4467356916162686,10,0,Yes,6.34683814808003,6.346115434923905,67,4,0,0,0,0,0,0,1,0,0,0,1,2.08,2.58,1.62,0.96,4.25,6.0,13.75,1.2674999999999998,93.8225655,1,1.0001138827623821
1GaNaP2S6-1,GaNaP2S6,3.0891157390855146,2.17032144756053,0,8.881784197001253e-17,-0.5117289757648507,3.185441306087691,10,0,Yes,6.425405737700412,6.425405737700451,10,4,0,0,0,0,0,0,1,0,1,0,0,1.8775,2.58,0.93,1.65,3.25,4.0,11.25,1.28,38.93788282,1,0.9999999999999939
1AgCrP2Te6-1,AgCrP2Te6,1.1372195138849808,0.5589754563753573,0,0.08821555653613722,-0.051379757825927186,3.599193228586355,10,1,Yes,6.88749396613864,6.887281817994269,67,4,0,0,0,0,0,0,0,0,0,0,1,1.9699999999999998,2.19,1.66,0.53,4.25,5.0,12.0,1.38,79.6095155,1,1.0000308028842113
1CrCuP2Se6-1,CrCuP2Se6,2.172900145471869,0.8106920503376167,0,0.0,-0.2439132895242885,3.506562008564231,10,1,Yes,6.354350648319832,6.354087877633958,10,4,0,0,0,0,0,0,0,0,0,0,1,2.075,2.55,1.66,0.8899999999999999,3.75,4.0,12.0,1.28,56.3689655,1,1.0000413545879336
1InLiAs2S6-1,InLiAs2S6,3.005543415515432,2.0196087947568824,0,0.08718864378394837,-0.3436859375790853,3.1456568550564032,10,0,Yes,6.650980462355595,6.650980462355613,10,4,0,0,0,0,0,0,1,0,1,0,0,1.88,2.58,0.98,1.6,3.5,5.0,11.25,1.3125,57.1864,1,0.9999999999999973
