uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes
4BeF2-1,BeF2,8.565901281618878,,10.53572940826416,Novel,0.03541219575115543,-3.266020356634631,2.0431514932792076,0,No,12,2,1,0,0,0,0,0,0,1,0,1,0,2.775,3.98,1.57,2.41,2.0,2.0,9.5,0.77,14.005292599999999,0
2BeF2-1,BeF2,8.25356772067039,,10.521464347839355,Novel,0.0,-3.3014325523857866,3.539243991895934,0,No,6,2,1,0,0,0,0,0,0,1,0,1,0,2.775,3.98,1.57,2.41,2.0,2.0,9.5,0.77,14.005292599999999,0
1MgB2F8-1,MgB2F8,8.241044851795206,10.617772574966027,10.463626861572266,TP,0.0,-3.137707801258944,2.598692013667513,0,Yes,11,3,1,0,0,0,0,0,0,1,0,1,0,2.4433333333333334,3.98,1.31,2.67,2.3333333333333335,3.0,10.666666666666666,0.9133333333333332,18.0381344,1
2AlF3-1,AlF3,7.772043739208705,,10.408928871154783,Novel,0.028817375917247645,-3.569883835849183,2.397126314116864,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.795,3.98,1.61,2.37,2.5,3.0,15.0,0.7999999999999999,22.9899709,0
2AlF3-2,AlF3,8.408902504942903,10.79158427023818,10.378604888916016,TP,0.032977181729056504,-3.5657240300373743,2.0046591086120547,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.795,3.98,1.61,2.37,2.5,3.0,15.0,0.7999999999999999,22.9899709,1
2YF3-2,YF3,6.821395567485379,,9.972097396850586,Novel,0.0285896611635712,-4.125600610021536,2.5139740532334844,0,No,8,2,1,0,0,0,0,0,0,1,0,0,1,2.6,3.98,1.22,2.76,3.5,5.0,10.0,1.27,53.9521266,0
2YF3-1,YF3,7.72766527046932,9.894449577438952,9.94114112854004,TP,0.0,-4.154190271185107,2.270601618626987,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,1,2.6,3.98,1.22,2.76,3.5,5.0,10.0,1.27,53.9521266,1
1MgF2-1,MgF2,7.534444494178011,9.796043658608728,9.722163200378418,TP,0.07071396287776939,-3.5588564907240534,1.9061630106753888,0,Yes,3,2,1,0,0,0,0,0,0,1,0,1,0,2.645,3.98,1.31,2.67,2.5,3.0,9.5,0.9349999999999999,21.6517016,1
1BaP2F12-1,BaP2F12,7.040993921354211,9.58234440554146,9.63367748260498,TP,0.0,-3.0065422344735397,7.148664789294573,0,Yes,15,3,1,0,0,0,0,0,0,1,0,1,0,2.3533333333333335,3.98,0.89,3.09,3.6666666666666665,6.0,11.333333333333334,1.3099999999999998,62.43305506666667,1
2ScF3-1,ScF3,6.883936707053714,10.024799859577415,9.617742538452148,TP,0.08486093492017499,-4.016700746541569,2.167377571111702,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,1,2.67,3.98,1.36,2.62,3.0,4.0,10.0,1.1300000000000001,31.977157599999998,1
1CaF2-1,CaF2,7.157281169654316,,9.343953132629396,Novel,0.12187543351096981,-3.924918261292529,1.9458509512316837,0,Yes,3,2,1,0,0,0,0,0,0,1,0,1,0,2.49,3.98,1.0,2.98,3.0,4.0,9.5,1.18,29.5382016,1
1SrP2F12-1,SrP2F12,6.876035946302497,9.426418483475762,9.210197448730469,TP,0.0,-2.9819962999572622,6.835507100132773,0,Yes,15,3,1,0,0,0,0,0,0,1,0,1,0,2.373333333333333,3.98,0.95,3.0300000000000002,3.3333333333333335,5.0,11.333333333333334,1.1966666666666665,45.86405506666667,1
4FLi-1,LiF,6.795881199347166,8.826324065442112,8.785544395446777,TP,0.05024719750405726,-2.976120146380763,2.155970840759479,0,Yes,8,2,1,0,0,0,0,0,0,1,1,0,0,2.48,3.98,0.98,3.0,2.0,2.0,9.0,1.045,12.969701599999999,1
6FLi-1,LiF,6.803910542902584,8.825406810873499,8.775956153869629,TP,0.03250107158696439,-2.993866272297856,4.260104777804518,0,Yes,12,2,1,0,0,0,0,0,0,1,1,0,0,2.48,3.98,0.98,3.0,2.0,2.0,9.0,1.045,12.969701599999999,1
2NaTaF6-1,NaTaF6,6.240968409735775,8.849863106960006,8.740782737731934,TP,0.0,-3.3362704920088753,7.73271511295869,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.1366666666666667,3.98,0.93,3.05,3.6666666666666665,6.0,7.666666666666667,1.4400000000000002,74.31201749333333,1
6FLi-2,LiF,6.642434306250129,,8.739357948303223,Novel,0.07821079829628157,-2.948156545588539,3.9862919412028655,0,No,12,2,1,0,0,0,0,0,0,1,1,0,0,2.48,3.98,0.98,3.0,2.0,2.0,9.0,1.045,12.969701599999999,0
1HfZnF6-1,HfZnF6,5.932064529314974,8.572742466226543,8.519134521484375,TP,0.024528268992252134,-3.2837347381541155,2.2268481453408526,0,Yes,8,3,1,0,0,0,0,0,0,1,0,0,1,2.31,3.98,1.3,2.6799999999999997,4.0,6.0,11.0,1.3066666666666666,87.63246773333333,1
2LiTaF6-1,LiTaF6,6.135708866467615,8.725162908062773,8.465278625488281,TP,0.0,-3.346666775557683,7.327666292049129,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.1533333333333333,3.98,0.98,3.0,3.3333333333333335,6.0,7.666666666666667,1.3633333333333333,68.96242773333334,1
2NaNbF6-1,NaNbF6,5.538701434870497,8.250125633271292,8.318853378295898,TP,0.0,-3.273441042096461,7.707106837965162,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.17,3.98,0.93,3.05,3.3333333333333335,5.0,7.666666666666667,1.4333333333333333,44.96485082666667,1
2LiNbF6-1,LiNbF6,5.440584048913905,8.141265897281308,8.259432792663574,TP,0.0,-3.2853135600475847,7.319957314970688,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.186666666666667,3.98,0.98,3.0,3.0,5.0,7.666666666666667,1.3566666666666667,39.61526106666667,1
2KTaF6-1,KTaF6,6.0798439543383545,8.68143673805662,8.183592796325684,TP,0.0,-3.387466620067188,8.095292361834963,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.1,3.98,0.82,3.16,4.0,6.0,7.666666666666667,1.6166666666666665,79.68152773333333,1
1BeP2F4O4-1,BeP2(OF)4,6.280248276334114,,8.143732070922852,Novel,-3.2297397080004555e-16,-2.5983824321270608,5.339315565237145,0,No,11,4,1,0,0,0,1,0,0,1,0,1,0,2.795,3.98,1.57,2.41,2.25,3.0,12.5,0.75,18.745936800000003,0
2GaF3-1,GaF3,5.826649820209332,8.149127636641484,8.029195785522461,TP,0.0,-2.7077559030174747,2.1269286351932983,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.895,3.98,1.81,2.17,3.0,4.0,15.0,0.89,44.3607016,1
2KNbF6-1,KNbF6,5.487954393138606,8.17697667577005,8.019767761230469,TP,0.0,-3.326401826215994,8.166719961709095,0,Yes,16,3,1,0,0,0,0,0,0,1,1,0,1,2.1333333333333333,3.98,0.82,3.16,3.6666666666666665,5.0,7.666666666666667,1.61,50.334361066666666,1
2GaF3-3,GaF3,5.071004514759804,,7.997773170471191,Novel,0.09417098420401171,-2.613584918813463,2.386455172650389,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.895,3.98,1.81,2.17,3.0,4.0,15.0,0.89,44.3607016,0
