uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
2CaCl2-1,CaCl2,5.406327483393074,,6.490979194641113,Novel,0.06250870283172993,-2.368643624966575,2.932230853463686,0,Yes,6,2,0,1,0,0,0,0,0,1,0,1,0,2.08,3.16,1.0,2.16,3.5,4.0,9.5,1.365,37.7655,1,1.0,0.980891116911757
2TlF3-2,TlF3,2.506851707964703,,4.382848262786865,Novel,0.031844114692748615,-1.8770432659928153,3.048398042346326,0,Yes,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,1,0.985,0.7471196281118664
1CaF2-1,CaF2,7.157281169654316,,9.343953132629396,Novel,0.12187543351096981,-3.924918261292529,1.9458509512316837,0,Yes,3,2,1,0,0,0,0,0,0,1,0,1,0,2.49,3.98,1.0,2.98,3.0,4.0,9.5,1.18,29.5382016,1,0.97,0.986111073763884
3BrLi-2,LiBr,4.8999121537585015,,6.212615489959717,Novel,0.05780838093766386,-1.5079325220050936,4.285986996773706,0,No,6,2,0,0,1,0,0,0,0,1,1,0,0,1.97,2.96,0.98,1.98,3.0,4.0,9.0,1.305,43.4225,0,0.96,0.8988759490600471
1CoHfF6-1,HfCoF6,0.8274178498813556,,4.449652194976807,Novel,0.02212946090264145,-3.057609259446242,2.1887519810145735,1,Unknown,8,3,1,0,0,0,0,0,0,1,0,0,1,2.3866666666666667,3.98,1.3,2.6799999999999997,4.0,6.0,10.0,1.34,85.47386606666667,0,0.955,0.4215572210544754
1SnLi2H6O6-1,Li2Sn(HO)6,3.869509840820711,,5.496252059936523,Novel,0.04128240077953057,-1.3831829546723555,3.7476323604400577,0,No,15,4,0,0,0,0,1,0,0,0,1,0,0,2.145,3.44,0.98,2.46,2.5,5.0,8.0,1.0325000000000002,35.664585,0,0.95,0.9456481163591358
2SrGe2F6-1,SrGe2F6,4.877820471941242,,6.242974758148193,Novel,0.0,-2.8781974586518224,7.438220806168644,0,No,18,3,1,0,0,0,0,0,0,1,0,1,0,2.313333333333333,3.98,0.95,3.0300000000000002,3.6666666666666665,5.0,11.0,1.2866666666666666,59.752801066666656,0,0.945,0.8756605358548483
1CaH2O2-1,Ca(HO)2,3.712782682619406,,5.333285331726074,Novel,0.013728361613001994,-1.9240008160234623,4.208628568239807,0,No,5,3,0,0,0,0,1,0,0,0,0,1,0,2.2133333333333334,3.44,1.0,2.44,2.3333333333333335,4.0,6.333333333333333,0.9833333333333333,19.028446666666667,0,0.94,0.982692574526069
6FLi-2,LiF,6.642434306250129,,8.739357948303223,Novel,0.07821079829628157,-2.948156545588539,3.9862919412028655,0,No,12,2,1,0,0,0,0,0,0,1,1,0,0,2.48,3.98,0.98,3.0,2.0,2.0,9.0,1.045,12.969701599999999,0,0.94,0.9813411405595801
2BrLiO2H4-1,LiH4BrO2,4.323097382357341,,5.577138423919678,Novel,0.010039431710992863,-1.2017165613580834,4.049419432575846,0,No,16,4,0,0,1,0,1,0,0,1,1,0,0,2.395,3.44,0.98,2.46,2.25,4.0,8.75,0.905,25.963084999999996,0,0.935,0.9817352949899455
