uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
1InNaAs2S6-1,InNaAs2S6,NaIn(AsS3)2,10,0.08399720199386138,-0.3464274174594699,1.9142750154789567,2.836027869118116,Yes,c211,10,C2,Centered rectangular (oc),c211
1CuScAs2S6-1,CuScAs2S6,ScCu(AsS3)2,10,0.15471070583783336,-0.4514692677267661,,,Unknown,p312,67,P312,Hexagonal (hp),p312
2AgCrAs2O6-2,Ag2Cr2As4O12,CrAg(AsO3)2,20,0.2984446258900647,-0.9541787882296277,,,Unknown,p2/b11,16,P2/c,Rectangular (op),p2/b11
2AgCrAs2O6-1,Ag2Cr2As4O12,CrAg(AsO3)2,20,0.24914454111616777,-1.0034788730035245,,,Unknown,p2_111,9,P2_1,Rectangular (op),p2_111
1AlLiSb2Te6-1,AlLiSb2Te6,LiAl(SbTe3)2,10,0.210557889062806,-0.13918675538294564,,,Unknown,c211,10,C2,Centered rectangular (oc),c211
1AuSbAs2Te6-1,AuAs2SbTe6,SbTe6As2Au,10,0.1273671987372256,0.05801160209222615,,,Unknown,p3,65,P3,Hexagonal (hp),p3
1AgScP2S6-1,AgScP2S6,ScAg(PS3)2,10,0.0,-0.6690426197987627,2.0167417085026202,3.453451687883375,Yes,p312,67,P312,Hexagonal (hp),p312
1AuBiP2Se6-1,AuBiP2Se6,BiP2AuSe6,10,0.0,-0.15840833825790313,0.8887192773504982,1.6037739096031203,Yes,p3,65,P3,Hexagonal (hp),p3
1AuVP2Te6-1,AuVP2Te6,VTe6P2Au,10,0.16188039813542615,-0.052314595598492275,,,Unknown,c211,10,C2,Centered rectangular (oc),c211
1AgCrP2Se6-1,AgCrP2Se6,CrAg(PSe3)2,10,0.0,-0.25649274085738727,0.8947669742058038,1.788781534497054,Yes,p312,67,P312,Hexagonal (hp),p312
1AgScAs2Te6-1,AgScAs2Te6,ScAg(Te3As)2,10,0.08974749544526554,-0.2373300120139085,0.17422982977159052,,No,p312,67,P312,Hexagonal (hp),p312
2AsHP2O6-1,As2H2O12P4,AsP2HO6,20,0.3311031066700906,-1.310247773713082,,,Unknown,p2_111,9,P2_1,Rectangular (op),p2_111
1AgTlSb2Se6-1,AgTlSb2Se6,TlAg(SbSe3)2,10,0.18550406246378204,-0.027443300461162324,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1AuVSb2Te6-1,AuVSb2Te6,VSb2Te6Au,10,0.1447492341095531,-0.035457062075628445,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1AgAlSb2Se6-1,AgAlSb2Se6,AlAg(SbSe3)2,10,0.17003108248607895,-0.21056695233899703,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1AgVAs2S6-1,AgVAs2S6,VAg(AsS3)2,10,0.15699184205069888,-0.1929288416518375,,,Unknown,c211,10,C2,Centered rectangular (oc),c211
1CuGaAs2Se6-1,CuGaAs2Se6,GaCu(AsSe3)2,10,0.15261950860762835,-0.10446376696811654,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1AgSbAs2Se6-1,AgAs2SbSe6,AgSb(AsSe3)2,10,0.07666587840879435,-0.06103882927810247,0.596745000387668,1.1803003251095965,Yes,p3,65,P3,Hexagonal (hp),p3
1AuTlAs2S6-1,AuTlAs2S6,TlAs2AuS6,10,0.23332685048923682,0.06529504468213573,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1AuSbAs2Se6-1,AuAs2SbSe6,SbAs2AuSe6,10,0.11148720604595283,-0.03735093615978968,,,Unknown,p3,65,P3,Hexagonal (hp),p3
1AgTlP2S6-1,AgTlP2S6,TlAg(PS3)2,10,0.05236899782781088,-0.20028846474140352,0.586614668267694,1.421081462725113,Yes,p312,67,P312,Hexagonal (hp),p312
1AlCuSb2Te6-1,AlCuSb2Te6,AlCu(SbTe3)2,10,0.19751783195549794,-0.0068518435297413305,,,Unknown,p312,67,P312,Hexagonal (hp),p312
2CuVSb2Te6-1,Cu2V2Sb4Te12,VCu(SbTe3)2,20,0.20033495979121133,0.0034102569685174446,,,Unknown,p2/b11,16,P2/c,Rectangular (op),p2/b11
1NaNiAs2S6-1,NaNiAs2S6,NaNi(AsS3)2,10,0.17701086996608062,-0.1960353868233085,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1CuTlAs2S6-1,CuTlAs2S6,TlCu(AsS3)2,10,0.1900987954762637,-0.0036192304365897598,,,Unknown,p312,67,P312,Hexagonal (hp),p312
1CuGaP2S6-1,CuGaP2S6,GaCu(PS3)2,10,0.032337678897002495,-0.30371028601098116,0.862737227704629,,No,p312,67,P312,Hexagonal (hp),p312
1GaNaP2S6-1,GaNaP2S6,NaGa(PS3)2,10,8.881784197001253e-17,-0.5117289757648507,2.17032144756053,3.0891157390855146,Yes,c211,10,C2,Centered rectangular (oc),c211
