formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
ScAg(SbS3)2,1AgScP2S6-1,ScAg(PS3)2,p312,67,P312,Hexagonal (hp),3.453451687883375,0.0,Yes,P→Sb,0.115,2.19,2.05,0.14000000000000012,0.98,1.33,0.3500000000000001,0.35714285714285726,high,True,ScAg(SbS3)2,p312,p312,True,True,known_material,1AgScSb2S6-1,p312,1AgScSb2S6-1,,,0.21832027229668488,Unknown,0,3.1965441703796387,False,2-4
ScAg(S3N)2,1AgScP2S6-1,ScAg(PS3)2,p312,67,P312,Hexagonal (hp),3.453451687883375,0.0,Yes,P→N,0.195,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,ScAg(S3N)2,p312,p312,False,False,new_composition,,,,,,,,1,1.0855950117111206,False,0-2
ScAg(AsS3)2,1AgScP2S6-1,ScAg(PS3)2,p312,67,P312,Hexagonal (hp),3.453451687883375,0.0,Yes,P→As,0.24,2.19,2.18,0.009999999999999787,0.98,1.14,0.15999999999999992,0.1632653061224489,medium,True,ScAg(AsS3)2,p312,p312,True,True,known_material,1AgScAs2S6-1,p312,1AgScAs2S6-1,,1.6309892677581166,0.097984270451032,No,2,2.8210415840148926,False,2-4
YAg(PS3)2,1AgScP2S6-1,ScAg(PS3)2,p312,67,P312,Hexagonal (hp),3.453451687883375,0.0,Yes,Sc→Y,0.28,1.36,1.22,0.14000000000000012,1.84,2.12,0.28,0.15217391304347827,medium,True,YAg(PS3)2,p312,p312,False,False,new_composition,,,,,,,,3,3.317203998565674,False,2-4
KAl(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Na→K,0.33,0.93,0.82,0.1100000000000001,1.9,2.43,0.5300000000000002,0.2789473684210528,medium,True,KAl(PS3)2,c211,c211,False,False,new_composition,,,,,,,,4,3.61456298828125,True,2-4
LiAl(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Na→Li,0.785,0.93,0.98,0.04999999999999993,1.9,1.67,0.22999999999999998,0.12105263157894737,low,False,LiAl(PS3)2,c211,c211,True,True,known_material,1AlLiP2S6-1,c211,1AlLiP2S6-1,3.872884141474959,2.8236292221981723,3.552713678800501e-16,Yes,5,3.677028179168701,True,2-4
RbAl(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Na→Rb,0.245,0.93,0.82,0.1100000000000001,1.9,2.65,0.75,0.39473684210526316,high,True,RbAl(PS3)2,c211,c211,False,False,new_composition,,,,,,,,6,3.6001815795898438,True,2-4
NaB(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Al→B,0.705,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,NaB(PS3)2,c211,c211,False,False,new_composition,,,,,,,,7,3.744086265563965,True,2-4
NaGa(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Al→Ga,0.065,1.61,1.81,0.19999999999999996,1.18,1.36,0.18000000000000016,0.15254237288135608,medium,True,NaGa(PS3)2,c211,c211,True,True,known_material,1GaNaP2S6-1,c211,1GaNaP2S6-1,3.0891157390855146,2.17032144756053,8.881784197001253e-17,Yes,8,3.159256935119629,False,2-4
NaAl(SbS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,P→Sb,0.06,2.19,2.05,0.14000000000000012,0.98,1.33,0.3500000000000001,0.35714285714285726,high,True,NaAl(SbS3)2,c211,c211,True,True,known_material,1AlNaSb2S6-1,c211,1AlNaSb2S6-1,,,0.19038465347835593,Unknown,9,3.7143325805664062,True,2-4
NaAl(AsS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,P→As,0.085,2.19,2.18,0.009999999999999787,0.98,1.14,0.15999999999999992,0.1632653061224489,medium,True,NaAl(AsS3)2,c211,c211,True,True,known_material,1AlNaAs2S6-1,c211,1AlNaAs2S6-1,2.510402898168281,1.645481198070581,0.09016253936660794,Yes,10,3.3368945121765137,False,2-4
NaAl(S3N)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,P→N,0.84,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,NaAl(S3N)2,c211,c211,False,False,new_composition,,,,,,,,11,2.1703073978424072,False,2-4
LiB(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Al→B,0.7,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,LiB(PS3)2,c211,c211,False,False,new_composition,,,,,,,,12,3.6617631912231445,True,2-4
LiGa(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Al→Ga,0.275,1.61,1.81,0.19999999999999996,1.18,1.36,0.18000000000000016,0.15254237288135608,medium,True,LiGa(PS3)2,c211,c211,True,True,known_material,1GaLiP2S6-1,c211,1GaLiP2S6-1,2.9968239098509786,2.0454524658997015,0.0,Yes,13,3.0870885848999023,False,2-4
LiAl(S3N)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,P→N,0.835,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,LiAl(S3N)2,c211,c211,False,False,new_composition,,,,,,,,14,1.9747470617294312,False,0-2
LiAl(SbS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,P→Sb,0.105,2.19,2.05,0.14000000000000012,0.98,1.33,0.3500000000000001,0.35714285714285726,high,True,LiAl(SbS3)2,c211,c211,True,True,known_material,1AlLiSb2S6-1,c211,1AlLiSb2S6-1,,,0.24169642807760336,Unknown,15,3.0964465141296387,False,2-4
