formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
LiAl(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Na→Li,0.785,0.93,0.98,0.04999999999999993,1.9,1.67,0.22999999999999998,0.12105263157894737,low,False,LiAl(PS3)2,c211,c211,True,True,known_material,1AlLiP2S6-1,c211,1AlLiP2S6-1,3.872884141474959,2.8236292221981723,3.552713678800501e-16,Yes,0,3.677028179168701,True,2-4
NaB(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Al→B,0.705,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,NaB(PS3)2,c211,c211,False,False,new_composition,,,,,,,,1,3.744086265563965,True,2-4
NaAl(S3N)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,P→N,0.84,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,NaAl(S3N)2,c211,c211,False,False,new_composition,,,,,,,,2,2.1703073978424072,False,2-4
LiB(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Al→B,0.7,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,LiB(PS3)2,c211,c211,False,False,new_composition,,,,,,,,3,3.6617631912231445,True,2-4
LiAl(S3N)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,P→N,0.835,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,LiAl(S3N)2,c211,c211,False,False,new_composition,,,,,,,,4,1.9747470617294312,False,0-2
NaAl(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Li→Na,0.65,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaAl(PS3)2,c211,c211,True,True,known_material,1AlNaP2S6-1,c211,1AlNaP2S6-1,3.964560037279047,2.9518015097718013,2.6645352591003756e-16,Yes,5,3.550020694732666,True,2-4
Te2HNO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→N,0.58,2.05,3.04,0.9900000000000002,1.33,0.56,0.77,0.5789473684210527,high,True,Te2HNO6,cm11,cm11,False,False,new_composition,,,,,,,,6,1.4095261096954346,False,0-2
Te2PHO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→P,0.74,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,Te2PHO6,cm11,cm11,False,False,new_composition,,,,,,,,7,4.991519451141357,True,4-6
Te2AsHO6,1HSbTe2O6-1,SbTe2HO6,cm11,13,Cm,Centered rectangular (oc),3.9750290568341096,0.04125560484827773,Yes,Sb→As,0.735,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,Te2AsHO6,cm11,cm11,False,False,new_composition,,,,,,,,8,4.2571821212768555,True,4-6
PH(SeO3)2,1HSbSe2O6-1,SbH(SeO3)2,cm11,13,Cm,Centered rectangular (oc),4.43058901937219,0.0,Yes,Sb→P,0.745,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,PH(SeO3)2,cm11,cm11,False,False,new_composition,,,,,,,,9,3.254706382751465,False,2-4
