formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
LiAl(PS3)2,1AlNaP2S6-1,NaAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.964560037279047,2.6645352591003756e-16,Yes,Na→Li,0.785,0.93,0.98,0.04999999999999993,1.9,1.67,0.22999999999999998,0.12105263157894737,low,False,LiAl(PS3)2,c211,c211,True,True,known_material,1AlLiP2S6-1,c211,1AlLiP2S6-1,3.872884141474959,2.8236292221981723,3.552713678800501e-16,Yes,0,3.677028179168701,True,2-4
NaAl(PS3)2,1AlLiP2S6-1,LiAl(PS3)2,c211,10,C2,Centered rectangular (oc),3.872884141474959,3.552713678800501e-16,Yes,Li→Na,0.65,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaAl(PS3)2,c211,c211,True,True,known_material,1AlNaP2S6-1,c211,1AlNaP2S6-1,3.964560037279047,2.9518015097718013,2.6645352591003756e-16,Yes,5,3.550020694732666,True,2-4
LiO2F,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→F,0.925,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiO2F,p-42_1m,p-42_1m,True,True,known_material,2FLiO2-1,p-42_1m,2FLiO2-1,,,1.348310565886042,Unknown,16,3.1110410690307617,False,2-4
LiClO2,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→Cl,0.875,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,LiClO2,p-42_1m,p-42_1m,True,True,known_material,2ClLiO2-1,p-42_1m,2ClLiO2-1,5.196933542303896,3.3471805718311938,0.15338332760737283,Yes,17,3.3293275833129883,False,2-4
LiIO2,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Br→I,0.835,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,LiIO2,p-42_1m,p-42_1m,True,True,known_material,2ILiO2-1,p-42_1m,2ILiO2-1,,,0.10381505167347926,Unknown,18,4.957110404968262,True,4-6
NaBrO2,2BrLiO2-1,LiBrO2,p-42_1m,58,P-42_1m,Square (tp),4.325519864113333,0.0921545568641815,Yes,Li→Na,0.9,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaBrO2,p-42_1m,p-42_1m,True,True,known_material,2BrNaO2-1,p-42_1m,2BrNaO2-1,,,0.22764823012153235,Unknown,19,4.024992942810059,True,4-6
NbBrO2,2ClNbO2-1,NbClO2,p2_1/m11,15,P2_1/m,Rectangular (op),4.452537269012865,0.012431175013481788,Yes,Cl→Br,0.63,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,NbBrO2,p2_1/m11,p2_1/m11,True,True,known_material,2BrNbO2-1,p2_1/m11,2BrNbO2-1,3.4687266859580994,2.006678932596866,0.0,Yes,28,3.284241199493408,False,2-4
LiBrO2,2ClLiO2-1,LiClO2,p-42_1m,58,P-42_1m,Square (tp),5.196933542303896,0.15338332760737283,Yes,Cl→Br,0.92,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,LiBrO2,p-42_1m,p-42_1m,True,True,known_material,2BrLiO2-1,p-42_1m,2BrLiO2-1,4.325519864113333,2.6247697516589947,0.0921545568641815,Yes,29,5.973426342010498,True,4-6
NaClO2,2ClLiO2-1,LiClO2,p-42_1m,58,P-42_1m,Square (tp),5.196933542303896,0.15338332760737283,Yes,Li→Na,0.875,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaClO2,p-42_1m,p-42_1m,True,True,known_material,2ClNaO2-1,p-42_1m,2ClNaO2-1,,,0.2641197164134311,Unknown,30,5.9874982833862305,True,4-6
CdHOF,1CdClHO-1,CdHClO,p3m1,69,P3m1,Hexagonal (hp),3.773512541474132,0.03269194871847092,Yes,Cl→F,0.72,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,CdHOF,p3m1,p3m1,True,True,known_material,1CdFHO-1,p3m1,1CdFHO-1,4.3886706898278325,2.7022612834316577,0.0461885650694458,Yes,34,3.957319736480713,True,2-4
